39.8866 	WARNING 	Requested image 'faces/known/known_37.jpg' not found but similar filename 'faces/known/known_37.png' exists. This will be used instead but changing the filename is advised.
39.9253 	INFO 	Keyboard events cleared
39.9250 	EXP 	fixation: autoDraw = False
39.9250 	EXP 	fixation: autoDraw = False
39.9250 	EXP 	faces_image: image = 'faces/known/known_37.jpg'
39.9250 	EXP 	faces_image: autoDraw = True
41.0042 	DATA 	Keypress: space
41.8947 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'block': 1, 'trial': 8, 'image': 'faces/unknown/unknown_153.jpg', 'type': 'unknown', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
41.9022 	EXP 	faces_image: autoDraw = False
42.8773 	EXP 	fixation: autoDraw = True
43.6251 	INFO 	Keyboard events cleared
43.6248 	EXP 	fixation: autoDraw = False
43.6248 	EXP 	fixation: autoDraw = False
43.6248 	EXP 	faces_image: image = 'faces/unknown/unknown_153.jpg'
43.6248 	EXP 	faces_image: autoDraw = True
45.5944 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'block': 1, 'trial': 9, 'image': 'faces/unknown/unknown_29.jpg', 'type': 'unknown', 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
45.6026 	EXP 	faces_image: autoDraw = False
46.5857 	EXP 	fixation: autoDraw = True
47.2880 	INFO 	Keyboard events cleared
47.2878 	EXP 	fixation: autoDraw = False
47.2878 	EXP 	fixation: autoDraw = False
47.2878 	EXP 	faces_image: image = 'faces/unknown/unknown_29.jpg'
47.2878 	EXP 	faces_image: autoDraw = True
49.2612 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'block': 1, 'trial': 10, 'image': 'faces/unknown/unknown_290.jpg', 'type': 'unknown', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
49.2692 	EXP 	faces_image: autoDraw = False
50.2442 	EXP 	fixation: autoDraw = True
50.8738 	INFO 	Keyboard events cleared
